Groningen;30
Friesland;32
Drenthe;32
Overijssel;60
Flevoland;9
Gelderland;117
Utrecht;61
Noord-Holland;276
Zuid-Holland;207
Zeeland;28
Noord-Brabant;100
Limburg;87
